Pitch Type,Zone,Total Pitches,Balls in Play,Hit Safely Pitches,Field Out Pitches,Batting Average (BIP),Total Swings,Total Whiffs,Whiff Rate,Field Out Rate (BIP)
FF,7,130,34,12,18,0.353,86,6,0.070,0.529
FF,8,191,52,20,23,0.385,132,17,0.129,0.442
FF,9,242,36,15,19,0.417,110,31,0.282,0.528
FF,11,742,25,7,17,0.280,113,29,0.257,0.680
FF,12,718,15,2,10,0.133,101,46,0.455,0.667
FF,13,253,29,10,15,0.345,56,3,0.054,0.517
FF,14,552,14,5,8,0.357,76,25,0.329,0.571
FS,1,8,0,0,0,0.000,1,1,1.000,0.000
FS,2,4,1,0,1,0.000,4,0,0.000,1.000
FS,4,13,4,0,2,0.000,7,0,0.000,0.500
FS,5,12,2,0,1,0.000,8,0,0.000,0.500
FS,6,5,1,0,1,0.000,2,1,0.500,1.000
FS,7,18,5,2,3,0.400,15,2,0.133,0.600
FS,8,15,6,3,3,0.500,14,1,0.071,0.500
FS,9,14,4,1,2,0.250,12,3,0.250,0.500
FS,11,19,0,0,0,0.000,1,0,0.000,0.000
FS,13,49,2,1,1,0.500,21,15,0.714,0.500
FS,14,82,5,3,1,0.600,29,15,0.517,0.200
KC,1,6,1,1,0,1.000,1,0,0.000,0.000
KC,2,12,4,1,3,0.250,6,1,0.167,0.750
KC,3,6,0,0,0,0.000,3,2,0.667,0.000
KC,4,12,4,1,3,0.250,9,2,0.222,0.750
KC,5,25,10,4,6,0.400,20,0,0.000,0.600
KC,6,16,3,0,2,0.000,9,2,0.222,0.667
KC,7,14,3,3,0,1.000,9,0,0.000,0.000
KC,8,21,10,7,2,0.700,16,1,0.062,0.200
KC,9,25,7,2,5,0.286,18,4,0.222,0.714
KC,11,15,0,0,0,0.000,1,0,0.000,0.000
KC,12,10,0,0,0,0.000,0,0,0.000,0.000
KC,13,39,6,2,3,0.333,11,3,0.273,0.500
KC,14,143,11,1,7,0.091,46,27,0.587,0.636
SI,1,112,21,9,9,0.429,65,11,0.169,0.429
SI,2,105,15,2,11,0.133,68,15,0.221,0.733
SI,3,65,5,3,2,0.600,30,9,0.300,0.400
SI,4,239,96,39,49,0.406,203,18,0.089,0.510
SI,5,213,83,32,37,0.386,179,18,0.101,0.446
SI,6,160,30,11,14,0.367,90,19,0.211,0.467
SI,7,166,65,29,30,0.446,133,18,0.135,0.462
SI,8,212,89,34,39,0.382,154,15,0.097,0.438
SI,9,143,26,9,13,0.346,66,6,0.091,0.500
SI,11,396,27,6,20,0.222,81,10,0.123,0.741
SI,12,139,1,0,1,0.000,14,10,0.714,1.000
SI,13,457,42,15,23,0.357,145,30,0.207,0.548
SI,14,426,14,9,4,0.643,45,8,0.178,0.286
SL,1,48,8,1,6,0.125,17,3,0.176,0.750
SL,2,66,6,0,5,0.000,32,13,0.406,0.833
SL,3,56,3,0,3,0.000,24,15,0.625,1.000
SL,4,86,27,8,15,0.296,52,4,0.077,0.556
SL,5,165,54,21,27,0.389,123,12,0.098,0.500
SL,6,196,46,18,18,0.391,116,23,0.198,0.391
