pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FF,2025-07-10,90.9,1.1,4.93,"Acuña Jr., Ronald",660670,676664,strikeout,swinging_strike,,,,,3,Ronald Acuña Jr. strikes out swinging.,R,R,L,ATH,ATL,S,2.0,,3,2,2025,1.06,1.23,0.54,3.51,,,669397.0,2,5,Top,,,,,,,-3.696771341120087,-132.4663302494932,-0.3107698602159452,13.222555521214458,27.06881047735948,-17.764665006022607,3.57,1.59,,,,91.7,1954,6.6,777156,642851,701762,680869,609280,691777,691016,672016,671732,53.92,,0.0,0.0,1.0,0.0,0.0,,36,7,4-Seam Fastball,3,3,3,3,3,3,3,3,Standard,Standard,129,0.031,-0.319,78.6,7.1,,0.319,,0,0,0.534,0.466,29,27,29,28,3,2,6.0,1.0,,1.0,1.51,1.06,-1.06,26.0,11.552497096186451,17.019901377816723,25.710067863476336,38.24283532674899,23.37053675536455
ST,2025-07-10,80.4,1.41,4.5,"Acuña Jr., Ronald",660670,676664,,foul,,,,,2,Ronald Acuña Jr. strikes out swinging.,R,R,L,ATH,ATL,S,,,3,2,2025,-0.91,0.97,0.11,3.39,,,669397.0,2,5,Top,,,,,,,-1.16299855760988,-116.86408714376203,2.561822878916799,-7.904651191078242,26.63430996653529,-24.304082760320966,3.57,1.59,216.0,67.6,47.0,80.2,2346,6.7,777156,642851,701762,680869,609280,691777,691016,672016,671732,53.82,,,,,,,,36,6,Sweeper,3,3,3,3,3,3,3,3,Standard,Standard,223,0.0,0.0,77.5,7.3,,0.0,88.0,0,0,0.534,0.466,29,27,29,28,3,2,6.0,1.0,,1.0,2.63,-0.91,0.91,21.6,17.916514081748666,-1.3776970852153736,26.978237187456013,34.214815764596686,35.39653128547755
CH,2025-07-10,84.1,1.36,4.53,"Acuña Jr., Ronald",660670,676664,,ball,,,,,14,Ronald Acuña Jr. strikes out swinging.,R,R,L,ATH,ATL,B,,,2,2,2025,1.29,0.26,0.78,1.23,,,669397.0,2,5,Top,,,,,,,-3.914526771040281,-122.51626326120574,-1.8256382710019472,13.820783106096286,23.25334940435742,-29.44312141724475,3.57,1.6,,,,84.6,1764,6.5,777156,642851,701762,680869,609280,691777,691016,672016,671732,54.04,,,,,,,,36,5,Changeup,3,3,3,3,3,3,3,3,Standard,Standard,109,0.0,0.085,,,,-0.085,,0,0,0.534,0.466,29,27,29,28,3,2,6.0,1.0,,1.0,2.95,1.29,-1.29,17.6,,,,,
FF,2025-07-10,92.6,1.17,4.9,"Acuña Jr., Ronald",660670,676664,,ball,,,,,11,Ronald Acuña Jr. strikes out swinging.,R,R,L,ATH,ATL,B,,,1,2,2025,0.9,1.33,-1.25,2.99,,,669397.0,2,5,Top,,,,,,,-8.168066361991846,-134.59330181421808,-1.9673322413591543,12.66293693386179,29.44687092518134,-15.805146621491524,3.58,1.58,,,,93.0,2080,6.6,777156,642851,701762,680869,609280,691777,691016,672016,671732,53.92,,,,,,,,36,4,4-Seam Fastball,3,3,3,3,3,3,3,3,Standard,Standard,132,0.0,0.038,,,,-0.038,,0,0,0.534,0.466,29,27,29,28,3,2,6.0,1.0,,1.0,1.34,0.9,-0.9,27.0,,,,,
FF,2025-07-10,93.1,1.07,4.9,"Acuña Jr., Ronald",660670,676664,,swinging_strike,,,,,5,Ronald Acuña Jr. strikes out swinging.,R,R,L,ATH,ATL,S,,,1,1,2025,0.94,1.28,-0.1,2.7,,,669397.0,2,5,Top,,,,,,,-5.096069588680474,-135.42596594927696,-2.6632604627995384,12.687120739932295,30.404615178836963,-16.111224997522154,3.57,1.59,,,,93.3,2083,6.5,777156,642851,701762,680869,609280,691777,691016,672016,671732,54.01,,,,,,,,36,3,4-Seam Fastball,3,3,3,3,3,3,3,3,Standard,Standard,135,0.0,-0.06,76.3,7.3,,0.06,,0,0,0.534,0.466,29,27,29,28,3,2,6.0,1.0,,1.0,1.36,0.94,-0.94,34.1,5.969968790176924,14.20197194498916,42.40433137583276,33.0848772951894,19.89351755110588
ST,2025-07-10,80.8,1.53,4.62,"Acuña Jr., Ronald",660670,676664,,called_strike,,,,,5,Ronald Acuña Jr. strikes out swinging.,R,R,L,ATH,ATL,S,,,1,0,2025,-1.33,0.45,0.05,2.5,,,669397.0,2,5,Top,,,,,,,-0.7671489665776288,-117.51823419991209,1.1916409675025648,-11.97284836622911,25.665897563104824,-28.55798317719045,3.57,1.6,,,,80.9,2479,6.7,777156,642851,701762,680869,609280,691777,691016,672016,671732,53.78,,,,,,,,36,2,Sweeper,3,3,3,3,3,3,3,3,Standard,Standard,277,0.0,-0.048,,,,0.048,,0,0,0.534,0.466,29,27,29,28,3,2,6.0,1.0,,1.0,3.09,-1.33,1.33,24.0,,,,,
CH,2025-07-10,83.5,1.55,4.73,"Acuña Jr., Ronald",660670,676664,,ball,,,,,14,Ronald Acuña Jr. strikes out swinging.,R,R,L,ATH,ATL,B,,,0,0,2025,1.38,0.48,1.59,2.38,,,669397.0,2,5,Top,,,,,,,-2.636079979575356,-121.5768569242811,0.0478893668087883,14.200656620516964,23.35153042222985,-27.642368431128595,3.52,1.59,,,,83.8,1673,6.4,777156,642851,701762,680869,609280,691777,691016,672016,671732,54.07,,,,,,,,36,1,Changeup,3,3,3,3,3,3,3,3,Standard,Standard,109,0.0,0.034,,,,-0.034,,0,0,0.534,0.466,29,27,29,28,3,2,6.0,1.0,,1.0,2.78,1.38,-1.38,18.2,,,,,
FF,2025-07-10,93.3,0.98,4.98,"Acuña Jr., Ronald",660670,676664,strikeout,swinging_strike,,,,,5,Ronald Acuña Jr. strikes out swinging.,R,R,L,ATH,ATL,S,2.0,,3,2,2025,1.03,1.09,-0.27,2.22,,,,0,4,Top,,,,,,,-5.467415388218543,-135.85697697439207,-3.812000390321331,13.883414434275338,26.867378360526533,-17.98338269551961,3.57,1.59,,,,94.0,1964,6.5,777156,642851,701762,680869,609280,691777,691016,672016,671732,54.04,,0.0,0.0,1.0,0.0,0.0,,23,7,4-Seam Fastball,3,0,0,3,0,3,0,3,Strategic,Standard,128,0.021,-0.333,76.2,6.6,,0.333,,3,-3,0.824,0.176,29,27,29,28,2,1,6.0,1.0,,1.0,1.5,1.03,-1.03,34.1,-10.005164420082435,26.013177011034674,47.77881170562845,28.444007888383307,22.3310818334694
FF,2025-07-10,93.1,1.12,4.92,"Acuña Jr., Ronald",660670,676664,,foul,,,,,1,Ronald Acuña Jr. strikes out swinging.,R,R,L,ATH,ATL,S,,,3,2,2025,1.15,1.04,-0.47,3.25,,,,0,4,Top,,,,,,,-6.5921121284171615,-135.46702881785384,-0.8100665138742266,15.550475458031604,29.33836639460577,-19.39872255935457,3.57,1.59,159.0,58.1,46.0,93.3,2051,6.4,777156,642851,701762,680869,609280,691777,691016,672016,671732,54.1,,,,,,,,23,6,4-Seam Fastball,3,0,0,3,0,3,0,3,Standard,Standard,132,0.0,0.0,56.8,5.5,,0.0,88.0,3,-3,0.824,0.176,29,27,29,28,2,1,6.0,1.0,,1.0,1.59,1.15,-1.15,28.3,-5.089036686401966,24.48376139915173,33.86634813082877,26.6528195476945,21.43736537575819
FF,2025-07-10,93.1,1.0,4.98,"Acuña Jr., Ronald",660670,676664,,foul,,,,,4,Ronald Acuña Jr. strikes out swinging.,R,R,L,ATH,ATL,S,,,3,1,2025,1.03,1.32,-0.61,2.41,,,,0,4,Top,,,,,,,-6.405035209982633,-135.3143576272802,-3.679555332458889,14.054128298359007,32.0764587588141,-15.352159497250868,3.57,1.59,110.0,48.3,43.0,92.9,2169,6.4,777156,642851,701762,680869,609280,691777,691016,672016,671732,54.08,,,,,,,,23,5,4-Seam Fastball,3,0,0,3,0,3,0,3,Strategic,Standard,131,0.0,-0.085,70.5,7.1,,0.085,88.0,3,-3,0.824,0.176,29,27,29,28,2,1,6.0,1.0,,1.0,1.33,1.03,-1.03,29.3,-2.69715737250192,15.27973309181701,46.77184035733276,25.146380402532124,25.46239557517952
